finished,responseid,lead_swm,lead_swm_o,swm_satisfaction,wtp1,wtp2,wtp3,wtp4,wtp5,wtp6,wtp7,wtp8,wtp9,wtp10,wtp11,wtp12,wtp13,wtp14,wtp15,wtp16,wtp17,wtp18,wtp19,wtp20,wtp21,wtp22,wtp23,wtp24,wtp25,wtp26,wtp27,wtp28,wtp29,wtp30,wtp31,wtp32,wtp33,wtp34,wtp35,wtp36,publ_educ,nat_env,crime_prev,housing,unempl_pov,health_serv,foodsec,pp_other,pp_other_txt,pp_pnts,water_poll,air_poll,deforestation,soil_deg,env_swm,biodiv_loss,climate_ch,env_other,env_other_txt,env_pnts,impact_swm,effects_swm,effects_swm_o,frequency,frequency_o,engagement,w3,village,gender,d3,age,educ,employ,employ_o,religion,religion_o,d7,yrs_cape,d8,yrs_house,hh_position,hh_position_om,hh_position_of,ownership,ownership_o,d11,buildings,d12,people,income,household_id,z1,ns_bid1,s_bid1,ns_bid2,s_bid2,response_ns_bid1,response_s_bid1,response_ns_bid2,response_s_bid2
True,R_1mRukmZIZV9czkE,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,2,3,8,3,7,11,6,0,,0,7,5,7,8,5,5,3,0,,0,Yes,"Water pollution,Air pollution,Health issues,Decrease of tourism",,Once a week,,I would be willing to contribute my time,Hygiene ,Muonda,Female,Please state the age in completed years of life,43,No education,Private sector,,Christianity,,All my life,,Please enter amount as a number,23,Female head of HH,,,Owner,,Please enter amount as a number,4,Please enter amount as a number,2,"25,001 to 50,000",8,The project should proceed so we may experience a great change ,2000,2000,4000,4000,1,1,1,1
True,R_3HBRG1iy4xtndIW,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,Yes,,No,Yes,,No,,,,,,,,,,,,,,,,,,,5,4,0,7,15,0,9,0,,0,6,4,9,5,12,0,4,0,,0,Yes,Spread of diseases,,Bi-weekly / twice a week,,I would be willing to contribute my time,"Clean community ,prevention of diseases",Muonda,Female,Please state the age in completed years of life,29,Primary education,Unemployed,,Islam ,,All my life,,Please enter amount as a number,2,Female head of HH,,,Rental ,,Please enter amount as a number,1,Please enter amount as a number,6,"25,001 to 50,000",,None,1500,1500,3000,3000,1,1,0,0
True,R_SDz8FHuCOrqvsKB,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,Yes,,No,2,7,5,3,9,4,10,0,,0,8,4,7,6,6,3,6,0,,0,Yes,"Health issues,Decrease of tourism,Loss of biodiversity ,Other (please specify):",Harm people,Every day,,I would be willing to pay a fee,Clean environment ,Katukumala,Female,Please state the age in completed years of life,68,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,15,Female head of HH,,,Owner,,Please enter amount as a number,8,Prefer not to say,,Prefer not to say,,Paper waste management makes our environment beautiful,3000,3000,6000,6000,1,1,0,0
True,R_1QaZ9rDuEERbjHT,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,5,4,2,9,6,6,8,0,,0,5,5,5,5,5,5,10,0,,0,Yes,"Water pollution,Air pollution,Spread of diseases,Health issues",,Bi-weekly / twice a week,,I would be willing to contribute my time,kupatsidwa zosowa,Chembe,Female,Please state the age in completed years of life,29,Secondary education ,Unemployed,,Christianity,,All my life,,All my life,,Male head of HH,,,Owner,,Please enter amount as a number,20,Please enter amount as a number,5,"100,001 to 125,000",3,,1500,1500,3000,3000,1,1,1,1
True,R_3RkKCuzfIWC2nex,Female head of HH,,Somewhat satisfied,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,0,0,20,5,0,,0,22,0,10,0,8,0,0,0,,0,Yes,Water pollution,,Prefer not to say,,I would be willing to contribute my time,Teaches us to be clean in our homes. ,Kafukuta,Female,Please state the age in completed years of life,22,Primary education,Unemployed,,Christianity,,Please enter amount as a number,22,Please enter amount as a number,.5,Female head of HH,,,Rental ,,Please enter amount as a number,5,Please enter amount as a number,5,"Less than 25,000",,,500,500,250,250,0,0,0,0
True,R_2cCP32vlpgaajl7,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,2,4,7,3,10,3,11,0,,0,8,2,2,10,7,6,5,0,,0,Yes,"Water pollution,Spread of diseases,Health issues,Decrease of tourism,Climate change ",,Once a week,,I would be willing to contribute my time,Hygiene ,Muonda,Female,Please state the age in completed years of life,29,Primary education,Self-employed,,Christianity,,All my life,,Please enter amount as a number,1,Female head of HH,,,Owner,,Please enter amount as a number,2,Please enter amount as a number,4,"25,001 to 50,000",,Thanks for the visit ,3000,3000,1500,1500,0,0,0,0
True,R_AzfmOTmlWyuPzRn,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,,,,,,,10,3,0,2,5,6,14,0,,0,9,8,7,8,4,0,4,0,,0,Yes,Spread of diseases,,Bi-weekly / twice a week,,Prefer not to say,Clean place,Muonda,Female,Please state the age in completed years of life,37,Primary education,Unemployed,,Christianity,,Please enter amount as a number,6,Please enter amount as a number,6,Female head of HH,,,Rental ,,Please enter amount as a number,1,Please enter amount as a number,7,Prefer not to say,12,Willing to participate but canât  do it now due to leg problems,2000,2000,1000,1000,0,0,0,0
True,R_2zpVzRJmBlKW1RN,Female head of HH,,Extremely satisfied,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,5,2,8,7,10,0,,0,8,4,7,5,3,5,8,0,,0,Yes,"Water pollution,Decrease of tourism,Other (please specify):",Harm people,Once a week,,I would be willing to contribute my time,Prevention of diseases,Katukumala,Female,Please state the age in completed years of life,43,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,27,Female head of HH,,,Owner,,Please enter amount as a number,5,Please enter amount as a number,3,"Less than 25,000",6,,1000,1000,500,500,0,0,0,0
True,R_33Dw2QGjCA69bue,Male head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,No,,,,,,,9,8,5,5,0,9,4,0,,0,6,6,10,7,4,3,4,0,,0,Yes,"Water pollution,Air pollution,Health issues",,Once a week,,Prefer not to say,Fresh air fromm the surrounding from the stinking bins,Kafukuta,Male,Please state the age in completed years of life,43,Secondary education ,Self-employed,,Christianity,,Please enter amount as a number,7,Please enter amount as a number,7,Male head of HH,,,Rental ,,Please enter amount as a number,3,Please enter amount as a number,5,Prefer not to say,13,,2500,2500,5000,5000,1,1,1,0
True,R_2xXxUsIZHAWJEQg,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,No,Yes,,No,No,,,,,,,,,,,,,,2,3,7,4,8,6,10,0,,0,8,3,5,9,7,3,5,0,,0,Yes,"Spread of diseases,Decrease of tourism",,Bi-weekly / twice a week,,I would be willing to pay a fee,Hygiene ,Muonda,Female,Please state the age in completed years of life,35,Primary education,Self-employed,,Christianity,,All my life,,Please enter amount as a number,3,Male head of HH,,,Owner,,Please enter amount as a number,2,Please enter amount as a number,5,"100,001 to 125,000",,"Thanks for the visit this project is good because it will help us to know more about waste management, MAY YOU HELP US TO TAKE CARE FOR LAKE BY PROVIDING US WITH SUPERVISION ",2000,2000,1000,1000,0,0,1,0
True,R_2cjAVkoy2fj03vI,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,2,3,7,7,8,3,10,0,,0,7,5,2,11,4,3,8,0,,0,Yes,"Water pollution,Spread of diseases,Health issues,Climate change ",,Once a week,,I do not want do engage in solid waste management,Change the community ,Muonda,Female,Please state the age in completed years of life,50,Primary education,Self-employed,,Christianity,,All my life,,Please enter amount as a number,25,Female head of HH,,,Owner,,Please enter amount as a number,3,Please enter amount as a number,4,"75,001 to 100,000",9,Thanks for the visit it may improve sanitation in cape maclear ,1500,1500,750,750,0,0,0,0
True,R_3iQdNo87eDqs56G,Female head of HH,,Somewhat satisfied,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,30,0,0,,0,30,0,0,0,10,0,0,0,,0,Yes,Don't know ,,Prefer not to say,,Prefer not to say,Know nothing ,Kafukuta,Female,Prefer not to say,,No education,Self-employed,,Christianity,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,2,Please enter amount as a number,4,"More than 300,000",,,1000,1000,500,500,0,0,0,0
True,R_agGns6lKQu6UARX,Female head of HH,,Somewhat dissatisfied,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,,40,Prefer not to say,,,Once a week,,Prefer not to say,Clean place to live.,Kafukuta,Male,Please state the age in completed years of life,32,Prefer not to say,Self-employed,,Christianity,,Please enter amount as a number,11,Please enter amount as a number,4,Male head of HH,,,Rental ,,Please enter amount as a number,2,Please enter amount as a number,13,Prefer not to say,,,500,500,1000,1000,1,1,1,1
True,R_2tlByqJ2uKESl3l,Male head of HH,,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,,40,Yes,"Water pollution,Air pollution",,Prefer not to say,,Prefer not to say,Knows nothing ,Kafukuta,Male,Please state the age in completed years of life,73,No education,Unemployed,,Christianity,,Please enter amount as a number,26,Please enter amount as a number,25,Male head of HH,,,Owner,,Please enter amount as a number,1,Please enter amount as a number,6,Prefer not to say,14,,2500,2500,1250,1250,0,0,0,0
True,R_zU1ZkAMnJi08Frj,Female head of HH,,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,,40,Yes,Water pollution,,Prefer not to say,,Prefer not to say,Saves the water quality ,Kafukuta,Female,Please state the age in completed years of life,20,Primary education,Unemployed,,Christianity,,Please enter amount as a number,3,Please enter amount as a number,3,Female head of HH,,,Owner,,Please enter amount as a number,1,Please enter amount as a number,3,Prefer not to say,,,3000,3000,1500,1500,0,0,0,0
True,R_2Wvc50DYihTFro8,Female head of HH,,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,,40,Yes,Water pollution,,Prefer not to say,,Prefer not to say,Clean home ,Chembe,Female,Prefer not to say,,Prefer not to say,Prefer not to say,,Christianity,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,3,Please enter amount as a number,5,Prefer not to say,,,3000,3000,1500,1500,0,0,0,0
True,R_XkcsbcRReQ5Rsop,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,2,2,7,5,8,5,11,0,,0,8,4,3,10,4,3,8,0,,0,Yes,"Water pollution,Air pollution,Spread of diseases,Decrease of tourism",,Once a week,,I would be willing to pay a fee,Hygiene ,Muonda,Female,Please state the age in completed years of life,22,Secondary education ,Unemployed,,Christianity,,All my life,,Please enter amount as a number,7,Female head of HH,,,Owner,,Please enter amount as a number,2,Please enter amount as a number,10,"25,001 to 50,000",,Thanks  for visiting ,2500,2500,1250,1250,0,0,0,0
True,R_31TKwxPhiCgObqf,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,,,,,,,0,0,8,2,11,9,10,0,,0,13,3,2,8,6,4,4,0,,0,Yes,"Water pollution,Air pollution,Spread of diseases,Decrease of tourism",,Every day,,I would be willing to contribute my time,Clean ,Muonda,Female,Please state the age in completed years of life,32,Secondary education ,Unemployed,,Christianity,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,2,Please enter amount as a number,4,"Less than 25,000",,Thanks for visit ,2000,2000,1000,1000,0,0,0,0
True,R_ZrfJoe7YUHhGtzP,Female head of HH,,Extremely dissatisfied,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,,40,Yes,"Water pollution,Air pollution,Spread of diseases,Health issues",,Every day,,I would be willing to contribute my time,phindu paline,Chembe,Female,Please state the age in completed years of life,75,Primary education,Unemployed,,Christianity,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,8,Please enter amount as a number,10,Prefer not to say,16,,500,500,1000,1000,1,1,1,1
True,R_1DqFA3yrdxwbXAq,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,4,0,4,0,6,8,18,0,,0,10,0,0,8,9,3,10,0,,0,Yes,"Water pollution,Spread of diseases,Decrease of tourism",,Every day,,I do not want do engage in solid waste management,Hygiene in the community ,Muonda,Female,Please state the age in completed years of life,59,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,5,Female head of HH,,,Owner,,Please enter amount as a number,3,Please enter amount as a number,4,"Less than 25,000",24,Thanks for the visit it may be proceeded ,1500,1500,750,750,0,0,0,0
