finished,responseid,a1,a2_1,a3,a4,a5,a6,a7,a8,a8_2_text,b1_1,b2,b3,b3_1_text,b3_2_text,b3_3_text,b3_4_text,b4,b5,b6,d1,d2,d2_4_text,d3,d3_5_text,d4,d4_4_text,d5,d5_4_text,d6,d6_4_text,d7,d7_4_text
True,R_3psTmRHjf9h2r32,No ,Somewhat dissatisfied,No,No,Yes,No,Prefer not to say / don't know,Yes (please specify):,Limited areas to dispose of waste ,Moderately important,No,,,,,,Yes,Yes,"More areas for waste management with specific categories for waste, recycling etc, a community engagement focus and information for tourists to ensure tourism doesn’t negatively impact efforts by the local community. ",Female,Please write the country's name:,Australian,Please state the age in completed years of life:,23,Please enter the name of your accommodation:,Warm Hearts Lodge,Please enter amount as a number:,7,Please enter amount as a number:,30,Please enter the amount in US-$:,350
True,R_2Bkuk3RvcfWVypg,Yes,Neither satisfied nor dissatisfied,Yes,No,No,No,No,No,,Moderately important,Yes,Fixed fee per day,1,,,,Yes,Yes,Different warte bins with explanations.,Female,Please write the country's name:,Germany,Please state the age in completed years of life:,35,Please enter the name of your accommodation:,ThumbiView Lodge,Please enter amount as a number:,4,Please enter amount as a number:,12,Please enter the amount in US-$:,300
True,R_xFLMSQQLupWRMkh,Yes,Somewhat dissatisfied,No,No,No,No,No,Yes (please specify):,"Littered areas, litter in lake",Very important,Yes,Fixed fee per day,2,,,,Yes,Yes,"Protection of natural environment, good sewage disposal, composting, recycling",Female,Please write the country's name:,USA,Please state the age in completed years of life:,37,Please enter the name of your accommodation:,Fish Haven,Please enter amount as a number:,4,Please enter amount as a number:,12,Please enter the amount in US-$:,200
True,R_3O8HUGtj7VhdtLS,Yes,Neither satisfied nor dissatisfied,No,No,Yes,Yes,No,Yes (please specify):,Trash everywhere ,Very important,Yes,Donation,,,1,,Yes,Yes,Localized trash collection centers. Payed incentives for locals to pick up trash. ,Male,Please write the country's name:,Usa,Please state the age in completed years of life:,39,Please enter the name of your accommodation:,Fish Haven ,Please enter amount as a number:,3,Please enter amount as a number:,14,Please enter the amount in US-$:,300
True,R_xupYB4kdk6Skq2t,No ,Extremely dissatisfied,Yes,No,Yes,Yes,Yes,Yes (please specify):,Loads of trash,Not at all important,Prefer not to say / don't know,,,,,,Yes,Yes,Trash collection,Male,Please write the country's name:,UK,Please state the age in completed years of life:,25,Please enter the name of your accommodation:,Fat Monkeys,Please enter amount as a number:,5,Please enter amount as a number:,30,Please enter the amount in US-$:,120
True,R_1oHjLNpX3gnLUjP,No ,Somewhat dissatisfied,No,Yes,No,No,No,Yes (please specify):,Garbage on the street ,Not at all important,Prefer not to say / don't know,,,,,,Yes,No ,Recycling bin and separate the waste,Female,Please write the country's name:,Hong Kong ,Please state the age in completed years of life:,29,Please enter the name of your accommodation:,The Gap,Please enter amount as a number:,10,Please enter amount as a number:,14,Please enter the amount in US-$:,500
True,R_DS72OyEwbIHB4Up,No ,Somewhat dissatisfied,No,No,No,No,No,Yes (please specify):,Trashes at the bottom of the lake near the shore,Slightly important,No,,,,,,No ,Yes,A barbage stockpiled next to the local market and someone burned the barage and that makes black smoke.,Male,Please write the country's name:,China,Please state the age in completed years of life:,31,Prefer not to say / don't know,,Please enter amount as a number:,10,Please enter amount as a number:,14,Prefer not to say / don't know,
True,R_271NM3OP7ZrEgrj,No ,Somewhat dissatisfied,No,No,No,No,No,Yes (please specify):,"Tourist area are clean, the villages have a lot of trash",Very important,No,,,,,,Yes,Yes,"If they stopped burning waste. Burning waste is waste management here, not a very good plan",Male,Please write the country's name:,Usa,Please state the age in completed years of life:,46,Please enter the name of your accommodation:,Mgoza,Please enter amount as a number:,3,Please enter amount as a number:,14,Please enter the amount in US-$:,1000
True,R_2uyBAfCApTMB2eE,Yes,Extremely dissatisfied,No,No,No,No,No,Yes (please specify):,If you are around you really don’t know where to put waste and if you are not in a lodge you have to burn it by yourself.,Moderately important,Yes,Fixed fee per stay,,10,,,Yes,Yes,It could be nice if local people know the importance of recycling and the negative effects of burning garbage. Maybe it would be interesting to put some programs in schools. unfortunately it's a government level problem but starting from a cape Maclear would be nice too. composting activities could be done. Everything please in the respect of the culture and of the people without impositions but only with easy commication.,Female,Please write the country's name:,Italy,Please state the age in completed years of life:,25,Please enter the name of your accommodation:,Now private home of my boy-friend (local person) but i stayed in Thumbi and also in Mpipe in the past,Please enter amount as a number:,20,Please enter amount as a number:,30,Please enter the amount in US-$:,300
True,R_3NxkIgiBj064Sao,Yes,Extremely dissatisfied,No,No,No,No,No,Yes (please specify):,Littered areas ,Very important,Yes,Fixed fee per day,3,,,,Yes,Yes,Knowing there are facilities for recycling. Clean environment - motivated communities and tourists ,Female,Please write the country's name:,U.K. ,Please state the age in completed years of life:,28,Please enter the name of your accommodation:,Mgozi lodge ,Please enter amount as a number:,3,I live in Malawi,,Please enter the amount in US-$:,500
True,R_0cXJb8Dzr9nsm65,Yes,Somewhat dissatisfied,No,No,No,Yes,No,Yes (please specify):,Plastics in Lake and on beach,Moderately important,Yes,Fixed fee per day,2,,,,Yes,Yes,"Plastic recycling, reducing open fires, enforcing plastic bag ban. Glass recycling ",Female,Please write the country's name:,Uk,Please state the age in completed years of life:,63,Please enter the name of your accommodation:,Ngozi,Please enter amount as a number:,4,Please enter amount as a number:,15,Please enter the amount in US-$:,500
True,R_2S1DTpqaz28xhDm,Yes,Somewhat dissatisfied,No,No,Yes,No,Yes,Yes (please specify):,Littered areas,Moderately important,Prefer not to say / don't know,,,,,,Yes,Yes,I don’t know ,Female,Please write the country's name:,Italy,Please state the age in completed years of life:,24,Please enter the name of your accommodation:,Mgoza lodge,Please enter amount as a number:,3,I live in Malawi,,Please enter the amount in US-$:,60
True,R_3qO34kZahUWqOGz,No ,Extremely dissatisfied,No,Prefer not to say / don't know,No,No,No,Yes (please specify):,Rubbish on the ground and Unpleasant smells,Slightly important,No,,,,,,Yes,Yes,Baskets for separate collection and know that there is a different waste management,Female,Please write the country's name:,Italy,Please state the age in completed years of life:,36,Prefer not to say / don't know,,Please enter amount as a number:,3,Prefer not to say / don't know,,Prefer not to say / don't know,
True,R_1Ic4ORE0iwBGgQG,Yes,Somewhat dissatisfied,No,No,No,Yes,No,Yes (please specify):,Littered areas,Moderately important,Yes,Fixed fee per day,1,,,,Yes,Yes,Facilities for plastic recycling ,Female,Please write the country's name:,Italy,Please state the age in completed years of life:,25,Prefer not to say / don't know,,Please enter amount as a number:,2,Please enter amount as a number:,335,Prefer not to say / don't know,
True,R_C3ykYoEHW7RVuyB,No ,Extremely dissatisfied,No,No,No,No,No,Yes (please specify):,Burn plastic everywhere,Moderately important,Prefer not to say / don't know,,,,,,Yes,Yes,"Do compost, reciclyng plastic and other waste and teach in the school the importante of this things ",Male,Please write the country's name:,Italia ,Please state the age in completed years of life:,23,Please enter the name of your accommodation:,Mgoza,Please enter amount as a number:,3,Please enter amount as a number:,59,Please enter the amount in US-$:,74
True,R_VXqRuQxA9f5z1AJ,Yes,Somewhat dissatisfied,No,No,No,No,No,Yes (please specify):,.,Moderately important,Yes,Donation,,,5,,Yes,Yes,.,Male,Please write the country's name:,Italy,Please state the age in completed years of life:,20,Please enter the name of your accommodation:,Mgodza,Please enter amount as a number:,3,I live in Malawi,,Please enter the amount in US-$:,100
True,R_1d48v79SfIgNp2Y,Yes,Somewhat dissatisfied,Yes,No,Yes,Yes,Yes,Yes (please specify):,"On streets, behind houses,on the beach",Moderately important,No,,,,,,No ,Yes,Governmental organized education programs on recycling and waste reduction with the local community. ,Male,Please write the country's name:,Belgian,Please state the age in completed years of life:,35,Prefer not to say / don't know,,Please enter amount as a number:,3,Please enter amount as a number:,30,Prefer not to say / don't know,
True,R_3oN1ZOBS35YNxFa,No ,Somewhat dissatisfied,Yes,No,Yes,Yes,No,Yes (please specify):,"Some plastic bags floating in water, garbage in streets ",Not at all important,Yes,Fixed fee per stay,,10,,,Yes,Yes,It would be good if there was less garbage in the streets and water etc ,Female,Please write the country's name:,Canada ,Please state the age in completed years of life:,51,Please enter the name of your accommodation:,Mgoza lodge ,Please enter amount as a number:,2,Please enter amount as a number:,7,Please enter the amount in US-$:,700
True,R_30ucjLAdXxMQEVM,No ,Neither satisfied nor dissatisfied,Yes,No,No,No,No,Yes (please specify):,Waste on the beach,Very important,Prefer not to say / don't know,,,,,,Yes,Yes,More available recycling centres along the streets and beach. ,Male,Please write the country's name:,Irish,Please state the age in completed years of life:,39,Please enter the name of your accommodation:,Kayak Africa,Please enter amount as a number:,2,Please enter amount as a number:,8,Please enter the amount in US-$:,300
True,R_1pAP9OhU6z1ZMDw,No ,Somewhat dissatisfied,No,No,No,Yes,No,Yes (please specify):,I came across a lot of waste near fisheries lodge  and a lot of cans/tins at  an island called thumbi,Very important,Yes,Fixed fee per stay,,4,,,Yes,Yes,So far I noted that they is a group of people from the community who are fighting against the waste management by cleaning the beach and collecting glass bottles ,Female,Please write the country's name:,Malawian ,Please state the age in completed years of life:,29,Please enter the name of your accommodation:,Fat monkeys lodge,Please enter amount as a number:,3,I live in Malawi,,Please enter the amount in US-$:,300
True,R_1OOkZWjzVsWzQYE,No ,Neither satisfied nor dissatisfied,Yes,No,No,Yes,No,No,,Extremely important,No,,,,,,No ,Yes,?,Female,Please write the country's name:,British,Please state the age in completed years of life:,36,Please enter the name of your accommodation:,Mumbo,Please enter amount as a number:,4,Please enter amount as a number:,8,Please enter the amount in US-$:,1500
True,R_1di3oA1VuWVegIc,Yes,Somewhat dissatisfied,No,No,No,Yes,No,Yes (please specify):,Massive amounts of litter in the village,Very important,Yes,Other (please specify):,,,,Airbnb ,Yes,Yes,Available bins,Male,Please write the country's name:,South Africa,Please state the age in completed years of life:,48,Please enter the name of your accommodation:,Warm hearted lodge,Please enter amount as a number:,2,Please enter amount as a number:,5,Please enter the amount in US-$:,200
True,R_2eWM6cAFBbqVP9L,Yes,Neither satisfied nor dissatisfied,Yes,No,Prefer not to say / don't know,No,Yes,No,,Very important,Yes,Fixed fee per stay,,10,,,Yes,Yes,Not sure,Female,Please write the country's name:,Uk ,Please state the age in completed years of life:,26,Please enter the name of your accommodation:,Thumbi,Please enter amount as a number:,4,Please enter amount as a number:,25,Please enter the amount in US-$:,400
True,R_vHK9BmCis71gRB7,No ,Somewhat satisfied,No,No,No,No,No,No,,Slightly important,No,,,,,,No ,Yes,"Honestly it there isn't much of a connection, in my mind, between my tourist experience in Cape Maclear and waste management. Maybe because the situation isn't so obviously bad. By the way, your survey is a bit biased/leading. It's clear what the ""right"" answer is to every question. And you should have ""I don't know"" or ""maybe"" as an option in addition to yes, no, and prefer not to say. Do better research!",Male,Please write the country's name:,USA ,Please state the age in completed years of life:,38,Prefer not to say / don't know,,Please enter amount as a number:,1,Please enter amount as a number:,21,Please enter the amount in US-$:,60
True,R_295NYelweixD4Zo,Yes,Somewhat dissatisfied,Yes,No,Yes,Yes,No,Yes (please specify):,Littered beach,Moderately important,Yes,Fixed fee per day,2,,,,Yes,Yes,Banning plastic bottles,Male,Please write the country's name:,France,Please state the age in completed years of life:,39,Please enter the name of your accommodation:,Warm Heart,Please enter amount as a number:,5,Please enter amount as a number:,14,Please enter the amount in US-$:,1000
True,R_2qeinstDdHiqvCh,Yes,Somewhat dissatisfied,Yes,No,Yes,Yes,Prefer not to say / don't know,Yes (please specify):,Litter on beach and in certain parts of the main village road (mainly packaging and plastic),Moderately important,Yes,Fixed fee per stay,,30,,,Yes,Yes,"Limiting use of single-use plastic and offering filtered potable water instead of plastic water bottles, having recycling bins in certain locations throughout the village and in all lodges.",Female,Please write the country's name:,Ghanaian,Please state the age in completed years of life:,40,Please enter the name of your accommodation:,Thumbi; Warm Heart: Cape Mac Lodge and Froggies Restaurant,Please enter amount as a number:,5,Please enter amount as a number:,14,Please enter the amount in US-$:,700
True,R_1duYNMQpDmNHVCl,No ,Neither satisfied nor dissatisfied,No,Yes,No,Yes,Yes,Yes (please specify):,Yes ,Moderately important,No,,,,,,No ,Yes,By helping the community with waste,Female,Please write the country's name:,Malawi,Please state the age in completed years of life:,25,Please enter the name of your accommodation:,MGOZA,Please enter amount as a number:,3,I live in Malawi,,Please enter the amount in US-$:,100
True,R_32PV3u5h3mMLYPQ,No ,Somewhat dissatisfied,No,No,No,Yes,Yes,Yes (please specify):,Too much plastic on land and in the lake,Moderately important,No,,,,,,Yes,No ,Clearing the beach + lake with lcoal people once in a White. Teach them and then they need to teach eachother. They need to know what the consequences will be of all the plastic evers where,Female,Please write the country's name:,The Netherlands,Please state the age in completed years of life:,35,Please enter the name of your accommodation:,Mgoza lodge,Please enter amount as a number:,3,Please enter amount as a number:,8,Please enter the amount in US-$:,600
True,R_2BbUAt3QsEBFOcN,Yes,Somewhat satisfied,No,No,No,Yes,No,Yes (please specify):,Plastic in the lake,Moderately important,No,,,,,,Yes,No ,"Trash bins, cleaning together with the locals, learn them about what all the plastic does with nature ",Female,Please write the country's name:,The Netherlands,Please state the age in completed years of life:,33,Please enter the name of your accommodation:,Mgoza Lodge,Please enter amount as a number:,3,Please enter amount as a number:,7,Please enter the amount in US-$:,300
True,R_3pa7B29sYLVIC5C,Yes,Neither satisfied nor dissatisfied,Prefer not to say / don't know,No,Prefer not to say / don't know,Prefer not to say / don't know,Prefer not to say / don't know,Yes (please specify):,Plastic papers or bottles loitering in the lake,Extremely important,Yes,Other (please specify):,,,,Fixed fee per month,Yes,Yes,Recycling the waste,Male,Please write the country's name:,Malawian,Please state the age in completed years of life:,48,Please enter the name of your accommodation:,Mgoza Lodge,Please enter amount as a number:,2,I live in Malawi,,Please enter the amount in US-$:,150
True,R_9Y9xbvgf8ycUich,Yes,Extremely dissatisfied,No,No,No,No,Yes,Yes (please specify):,Beach and behind village,Moderately important,No,,,,,,No ,Yes,None,Male,Please write the country's name:,Uk,Please state the age in completed years of life:,68,Please enter the name of your accommodation:,Mgoza,Please enter amount as a number:,14,Please enter amount as a number:,16,Prefer not to say / don't know,
True,R_1gunj5RQleNEZ6V,No ,Somewhat dissatisfied,No,No,No,No,No,Yes (please specify):,Plenty of banana mango peels ,Extremely important,Yes,Donation,,,1.2,,Yes,Yes,Collection and disposal of banana peels,Male,Please write the country's name:,Malawi,Please state the age in completed years of life:,46,Please enter the name of your accommodation:,Mgoza Lodge,Please enter amount as a number:,2,I live in Malawi,,Please enter the amount in US-$:,178
True,R_3spsLKpizYTisxp,No ,Extremely dissatisfied,Yes,No,No,No,No,No,,Extremely important,Yes,Donation,,,3,,No ,Yes,Community leadership traning,Female,Please write the country's name:,Malawi,Please state the age in completed years of life:,45,Please enter the name of your accommodation:,Mgoza lodge,Please enter amount as a number:,2,I live in Malawi,,Please enter the amount in US-$:,50
True,R_3dQYpZY3xVJRwvU,No ,Neither satisfied nor dissatisfied,Yes,No,No,No,Yes,Yes (please specify):,Litter,Extremely important,Prefer not to say / don't know,,,,,,No ,Yes,N/a,Male,Prefer not to say / don't know,,Please state the age in completed years of life:,31,Prefer not to say / don't know,,Please enter amount as a number:,3,Please enter amount as a number:,8,Please enter the amount in US-$:,100
True,R_1yKPcOb1qA9BCJr,No ,Neither satisfied nor dissatisfied,No,No,No,No,No,No,,Not at all important,No,,,,,,Yes,Yes,N/A,Female,Please write the country's name:,South Africa ,Please state the age in completed years of life:,31,Please enter the name of your accommodation:,Danforth Lodge ,Please enter amount as a number:,2,Please enter amount as a number:,11,Please enter the amount in US-$:,100
True,R_2TMmYYgsVgww6tn,No ,Neither satisfied nor dissatisfied,No,No,No,No,No,No,,Moderately important,No,,,,,,No ,Yes,Not sure,Male,Please write the country's name:,South africa,Please state the age in completed years of life:,24,Please enter the name of your accommodation:,Danforth Retreat,Please enter amount as a number:,2,Please enter amount as a number:,10,Please enter the amount in US-$:,100
True,R_Rt5vQjYIZnDtzW1,Yes,Somewhat dissatisfied,Yes,No,Yes,Yes,No,Yes (please specify):,Impact on environment,Very important,Yes,Fixed fee per stay,,5,,,Yes,Yes,Waste collection,Male,Please write the country's name:,UK,Please state the age in completed years of life:,46,Please enter the name of your accommodation:,Warm heart,Please enter amount as a number:,3,I live in Malawi,,Please enter the amount in US-$:,200
True,R_2w0FM7ugEl9Tr7f,Yes,Somewhat dissatisfied,No,No,No,No,Yes,Yes (please specify):,Street,Very important,No,,,,,,Yes,Yes,"Make water cleaner, collect plastic trash",Male,Please write the country's name:,Germany,Please state the age in completed years of life:,29,Please enter the name of your accommodation:,Thumbi,Please enter amount as a number:,3,Please enter amount as a number:,270,Please enter the amount in US-$:,200
True,R_eqBM6cFto64a0s9,Yes,Somewhat dissatisfied,Yes,No,No,Yes,No,Yes (please specify):,"Trash in the lake while swimming, littered area next to Fat Monkey's, fumes of waste burning entering my room at Thumbi view.",Not at all important,Yes,Fixed fee per day,1,,,,Yes,Yes,"Having waste bins, reduction of waste in the lake, maybe a weekly clean-up for tourists with a small educational session on waste management in Malawi/Cape Maclear",Female,Please write the country's name:,The Netherlands,Please state the age in completed years of life:,26,Please enter the name of your accommodation:,Thumbi View,Please enter amount as a number:,9,Please enter amount as a number:,49,Please enter the amount in US-$:,200
True,R_2rTnBsprw9z6esd,Yes,Somewhat dissatisfied,Yes,No,No,No,No,Yes (please specify):,Littering of road side and lake,Slightly important,Yes,Fixed fee per stay,,5,,,Yes,Yes,Recycling and management of plastc waste,Male,Please write the country's name:,Swedish,Please state the age in completed years of life:,33,Please enter the name of your accommodation:,Thumbi view,Please enter amount as a number:,2,I live in Malawi,,Please enter the amount in US-$:,100
True,R_sbwXuIDlVDQhmaB,No ,Somewhat satisfied,Yes,Yes,No,No,No,No,,Not at all important,No,,,,,,Prefer not to say / don't know,Yes,"Plastic reduction, stop using plastic bags and such ",Female,Please write the country's name:,Sweden ,Please state the age in completed years of life:,28,Prefer not to say / don't know,,Please enter amount as a number:,3,Please enter amount as a number:,10,Please enter the amount in US-$:,100
True,R_3MsbSuPGpICNWa5,No ,Neither satisfied nor dissatisfied,Yes,No,Yes,Yes,Yes,No,,Not at all important,Yes,Fixed fee per stay,,4,,,Yes,Yes,Educational initiatives and development of clear systems for waste management ,Male,Please write the country's name:,Sweden,Please state the age in completed years of life:,30,Please enter the name of your accommodation:,Tumbi View,Please enter amount as a number:,3,Please enter amount as a number:,10,Please enter the amount in US-$:,80
True,R_OrJeaVnw5fbqJHz,Yes,Neither satisfied nor dissatisfied,Yes,No,No,No,Yes,Yes (please specify):,Plastic in the water,Slightly important,Yes,Fixed fee per stay,,5,,,Yes,Yes,It would be a good idea to have visible information about this initiative to increase the willingness to help the area get cleaner. Information signs could be placed around Cape Maclear and in the lodges. ,Male,Please write the country's name:,Sweden,Please state the age in completed years of life:,31,Please enter the name of your accommodation:,Thumbi View lodge,Please enter amount as a number:,2,Please enter amount as a number:,10,Please enter the amount in US-$:,100
True,R_1QFvxZTmylTx29w,Yes,Neither satisfied nor dissatisfied,Prefer not to say / don't know,No,No,No,No,Prefer not to say / don't know,,Slightly important,Yes,Fixed fee per stay,,5,,,Yes,Yes,Collection of single use plastic,Female,Please write the country's name:,Sweden,Please state the age in completed years of life:,32,Prefer not to say / don't know,,Please enter amount as a number:,2,Please enter amount as a number:,10,Please enter the amount in US-$:,1000
True,R_yBWvWBM9jZmaKxr,No ,Somewhat dissatisfied,Yes,No,Yes,No,No,Yes (please specify):,"Plastic bottles lying around, plastic in the lake, hard to find trash cans easily ",Not at all important,Yes,Fixed fee per day,3,,,,Yes,Yes,"More trash cans, more info about recyling ",Male,Please write the country's name:,Sweden,Please state the age in completed years of life:,32,Please enter the name of your accommodation:,Tumb view lodge ,Please enter amount as a number:,2,Please enter amount as a number:,10,Please enter the amount in US-$:,60
